# source: https://en.wikipedia.org/wiki/Prices_of_chemical_elements (2020-09-08)
Z,Symbol,Name,Density [kg/L],Abundance in Earth's crust [mg/kg],Price [USD/kg],Price [USD/L],Year,Source,Notes
42,Mo,Molybdenum,10.22,1.2,40.1,410,2019,Preismonitor[18][g],Min. 99.95% pure.
43,Tc,Technetium,11.5,~ 3e-9[i],100000,1200000,2004[j],CRC Handbook[k],
43,99mTc,Technetium-99m,11.5,,1.9e12,22e12,2008,NRC[44],"In the form of medical doses of sodium pertechnetate made on-site in technetium-99m generators. Price per technetium contained. Range of prices for medical doses available in the United States. Technetium-99m has half-life of 6 hours, which limits its ability to be directly traded."
44,Ru,Ruthenium,12.37,0.001,10400 – 10600,129000 – 131000,2020,SMM[45][d],99.95% pure.
45,Rh,Rhodium,12.41,0.001,147000,1820000,2019,Preismonitor[18][g],
See also: Rhodium § Mining and price,,,,,,,,,
99.95% pure.,,,,,,,,,
46,Pd,Palladium,12.02,0.015,49500,595000,2019,Preismonitor[18][g],
See also: Palladium as an investment,,,,,,,,,
99.95% pure. London bullion market afternoon fix. In warehouse.,,,,,,,,,
47,Ag,Silver,10.501,0.075,521,5470,2019,Preismonitor[18][g],
See also: Silver as an investment,,,,,,,,,
99.5% pure. Spot price. At London Metal Exchange warehouse.,,,,,,,,,
48,Cd,Cadmium,8.69,0.159,2.73,23.8,2019,Preismonitor[18][g],"Ingot, min. 99.99% pure."
49,In,Indium,7.31,0.25,167,1220,2019,Preismonitor[18][g],Min. 99.99% pure.
50,Sn,Tin,7.287,2.3,18.7,136,2019,Preismonitor[18][g],
See also: Tin § Price_and_exchanges,,,,,,,,,
Min. 99.85% pure. Spot price. At London Metal Exchange warehouse.,,,,,,,,,
51,Sb,Antimony,6.685,0.2,5.79,38.7,2019,Preismonitor[18][g],"Ingot, min. 99.65% pure."
52,Te,Tellurium,6.232,0.001,63.5,396,2019,Preismonitor[18][g],Min. 99.99% pure. Europe.
53,I,Iodine,4.93,0.45,35,173,2019,Industrial Minerals[46],Min 99.5% pure. Spot market price on 2 August 2019.
54,Xe,Xenon,0.005887,3e-5,1800,11,1999,Ullmann[24],Approximate European price for buying small quantities.
55,Cs,Caesium,1.873,3,61800,116000,2018,USGS MCS[12],1 g ampoules of 99.8% pure caesium.
56,Ba,Barium,3.594,425,0.246–0.275,0.886–0.990,2016,USGS MYB 2016[47],"In the form of chemical-grade barite (barium sulfate) exported from China to United States. Price per barium contained, includes cost, insurance, and freight. Barium sulfate is the primary feedstock for production of barium chemicals.[48]"
57,La,Lanthanum,6.145,39,4.78–4.92,29.4–30.3,2020,SMM[49][d],Min. 99% pure.
58,Ce,Cerium,6.77,66.5,4.57–4.71,30.9–31.9,2020,SMM[50][d],Min. 99% pure.
59,Pr,Praseodymium,6.773,9.2,103,695,2019,Preismonitor[18][g],"Min. 99% pure, Free on Board China."
60,Nd,Neodymium,7.007,41.5,57.5,403,2019,Preismonitor[18][g],"Min. 99% pure, Free on Board China."
61,147Pm,Promethium-147,7.26,,460000,3400000,2003,Radiochemistry Society[51],From Periodic Table of the Elements published on website of Radiochemistry Society. There is no further information as to source or specifics of this price.
62,Sm,Samarium,7.52,7.05,13.9,104,2019,Preismonitor[18][g],"Min. 99% pure, Free on Board China."
63,Eu,Europium,5.243,2,31.4,165,2020,ISE 2020[32][h],Min. 99.999% pure.
64,Gd,Gadolinium,7.895,6.2,28.6,226,2020,ISE 2020[32][h],Min. 99.5% pure.
65,Tb,Terbium,8.229,1.2,658,5410,2019,Preismonitor[18][g],"Min. 99% pure, Free on Board China."
66,Dy,Dysprosium,8.55,5.2,307,2630,2019,Preismonitor[18][g],"Min. 99% pure, Free on Board China."
67,Ho,Holmium,8.795,1.3,57.1,503,2020,ISE 2020[32][h],Min. 99.5% pure.
68,Er,Erbium,9.066,3.5,26.4,240,2020,ISE 2020[32][h],Min. 99.5% pure.
69,Tm,Thulium,9.321,0.52,3000,28000,2003,IMAR[52][l],"Price quotes from canadian producer, for 1 kg order. 99.5–99.99% purity, Free on Board Vancouver, Canada."
70,Yb,Ytterbium,6.965,3.2,17.1,119,2020,ISE 2020[32][h],Min. 99.99% pure.
71,Lu,Lutetium,9.84,0.8,643,6330,2020,ISE 2020[32][h],Min. 99.99% pure.
72,Hf,Hafnium,13.31,3,900,12000,2017,USGS MCS[12],Unwrought hafnium.
73,Ta,Tantalum,16.654,2,298–312,4960–5200,2019,ISE 2019[39],Min. 99.95% pure. Ex Works China.
74,W,Tungsten,19.25,1.3,35.3,679,2019,Preismonitor[18][g],"Powder, particle size 2–10 µm, 99.7% pure. Free on Board China."
75,Re,Rhenium,21.02,7e-4,3010–4150,63300 – 87300,2020,SMM[53][d],99.99% pure.
76,Os,Osmium,22.61,0.002,12000,280000,2016,Fastmarkets[m],
77,Ir,Iridium,22.56,0.001,55500 – 56200,1250000 – 1270000,2020,SMM[56][d],
See also: Iridium § Production,,,,,,,,,
99.95% pure.,,,,,,,,,
78,Pt,Platinum,21.46,0.005,27800,596000,2019,Preismonitor[18][g],
See also: Platinum as an investment,,,,,,,,,
99.95% pure. London bullion market morning fix. In warehouse.,,,,,,,,,
79,Au,Gold,19.282,0.004,44800,863000,2019,Preismonitor[18][g],
See also: Gold as an investment,,,,,,,,,
99.9% pure. Morning London gold fix.,,,,,,,,,
80,Hg,Mercury,13.5336,0.085,30.2,409,2017,USGS MCS[12],Average European Union price of 99.99% pure mercury.
81,Tl,Thallium,11.85,0.85,4200,49800,2017,USGS MCS[12],
82,Pb,Lead,11.342,14,2.00,22.6,2019,Preismonitor[18][g],Min. 99.97% pure. Spot price. At London Metal Exchange warehouse.
83,Bi,Bismuth,9.807,0.009,6.36,62.4,2019,Preismonitor[18][g],
See also: Bismuth § Price,,,,,,,,,
"Refined bismuth, min. 99.99% pure.",,,,,,,,,
84,209Po,Polonium-209,9.32,,49.2e12,458e12,2004[j],CRC Handbook (ORNL)[n],
85,At,Astatine,7,3e-20[i],Not traded.,,,,Only under a tenth of microgram of astatine has ever been produced.[42] Most stable isotope has half-life of 8.1 hours.
86,Rn,Radon,0.00973,4e-13[i],Not traded.,,,,"Used in brachytherapy until 1960s,[57] currently radon is not used commercially.[58]"
